review_id,app,country,year,date,rating,likes,lang,lang_corrected,lang_method,sentiment,adoption_drivers,adoption_barriers,cultural_factors,inclusion_signal,n_barriers,iai_score
a057c578-380c-402c-bfef-ebbc8ed1d8e5,opay,ng,2022,2022-09-05 19:56:01,5,0,en,en,langid,positive,[],[],[],moderate,0,1.0
266e45b4-e490-42c9-a4e4-1c6e0b0ad27e,opay,ng,2022,2022-08-26 14:28:09,5,0,en,en,langid,mixed,"[""ease of use""]","[""limited features""]","[""rural usage""]",weak,1,0.7
322dab9b-ae87-4de5-8b5f-437872248e9b,opay,ng,2024,2024-09-18 12:18:02,5,0,en,en,langid,positive,[],[],[],weak,0,1.0
7383b3cc-21c8-4d9b-8c2b-ea47f5a6d7b5,opay,ng,2023,2023-07-20 21:23:53,5,0,en,en,langid,positive,"[""reliability""]",[],"[""trust issues""]",weak,0,1.0
cfa4836b-740e-4632-8e14-4d5d9f2811a2,opay,ng,2023,2023-02-24 07:32:01,5,0,en,en,langid,positive,[],[],[],weak,0,1.0
294212f7-b89e-4e53-bb4b-e0314e9953d1,opay,ng,2022,2022-03-03 07:13:49,5,0,en,en,langid,positive,[],[],[],weak,0,1.0
c6cfeb45-44bd-4fcd-be81-7eb3d42aeb1d,opay,ng,2024,2024-11-30 14:08:28,5,0,en,en,langid,positive,[],[],[],weak,0,1.0
9b69aa53-69a4-4a94-962c-7dea1c3aa6e2,opay,ng,2020,2020-05-08 06:22:08,5,0,en,en,langid,positive,"[""ease of use""]",[],[],weak,0,1.0
9d8ee387-9693-4541-b10f-512ab2a04b03,opay,ng,2024,2024-11-25 11:59:16,3,0,en,en,langid,negative,[],"[""failed transactions""]",[],none,1,0.15
b19fa59d-9dc8-42cd-a178-d9f323e0ed07,opay,ng,2022,2022-08-27 08:16:14,3,0,en,en,langid,negative,[],"[""failed transactions"", ""network connectivity""]",[],none,2,0.1
acbffaa6-ecbb-4fe8-96fa-65da30da16dd,opay,ng,2024,2024-08-22 12:38:42,5,0,en,en,langid,positive,[],[],[],weak,0,1.0
29d6f312-62b1-4290-9b34-80adbf0dda13,opay,ng,2024,2024-02-23 23:13:29,4,2,en,en,langid,mixed,[],"[""limited features""]",[],weak,1,0.7
3900ad2b-dadc-4f3d-a2f4-4c4891d6062a,opay,ng,2022,2022-09-06 07:18:57,5,0,en,en,langid,positive,[],[],[],weak,0,1.0
301c0108-fdcd-4748-abc6-8ce50e8c97d0,opay,ng,2023,2023-05-17 14:52:06,5,0,en,en,langid,neutral,[],[],[],none,0,0.35
220d427d-e906-423a-ae38-901fb6009e29,opay,ng,2024,2024-01-24 04:01:19,4,0,en,en,langid,positive,"[""transaction speed"", ""reliability""]",[],[],weak,0,1.0
b3040c12-9622-40d5-897a-aea633354b02,opay,ng,2022,2022-03-05 14:55:25,2,0,en,en,langid,negative,[],"[""failed transactions""]",[],none,1,0.15
0ac83d4c-2108-4571-b9e8-2450a6046b74,opay,ng,2021,2021-05-20 16:06:41,5,0,en,en,langid,positive,[],[],[],weak,0,1.0
d6186c8c-1cd4-42ee-a81e-e58add3f7ad0,opay,ng,2021,2021-03-27 23:24:38,5,0,en,en,locale_lowconf,positive,[],[],[],weak,0,1.0
a64beafe-3abe-473e-8e6e-0388f2ee5f4e,opay,ng,2024,2024-04-20 21:21:08,5,0,en,en,langid,positive,[],[],[],weak,0,1.0
cbd5f62b-0854-478a-bb1a-2396754d3746,opay,ng,2020,2020-02-04 14:25:55,1,0,en,en,langid,negative,[],"[""poor customer service"", ""failed transactions"", ""high fees""]","[""trust issues""]",none,3,0.05
74e94aa8-c411-4dad-a381-834ff74a82e0,opay,ng,2022,2022-04-06 18:38:39,5,0,en,en,langid,positive,"[""transaction speed""]",[],[],none,0,0.7
c3d2f7f6-1fa4-4e0a-978c-e0ed482b99fc,opay,ng,2022,2022-07-27 23:38:06,5,0,en,en,langid,positive,"[""ease of use""]",[],[],strong,0,1.0
9463924b-04f6-4685-be11-3c5017bb6407,opay,ng,2022,2022-07-02 18:55:47,1,0,en,en,langid,negative,[],"[""app crashes"", ""24h availability"", ""failed transactions""]",[],none,3,0.05
287018d5-f357-4834-b150-00841f059a79,opay,ng,2024,2024-12-18 06:01:14,5,0,en,en,langid,positive,"[""ease of use"", ""reliability""]",[],[],none,0,0.7
5c8085d4-b32a-4481-a652-0594e85574bc,opay,ng,2019,2019-11-13 14:50:03,3,0,en,en,langid,negative,[],"[""network connectivity""]",[],none,1,0.15
afac346a-2922-44f0-afa2-735ad3636f3d,opay,ng,2024,2024-09-11 10:21:41,5,0,en,en,langid,positive,"[""transaction speed"", ""reliability""]",[],[],none,0,0.7
2c351012-f099-476e-8d15-9ac3a45da831,opay,ng,2024,2024-11-14 18:33:24,2,0,en,en,langid,negative,[],"[""kyc verification""]",[],weak,1,0.45
d4afa5c6-1c67-41fa-b103-709ea0118eab,opay,ng,2022,2022-12-19 18:20:17,5,0,en,en,langid,neutral,[],[],[],none,0,0.35
c3c9ba4a-9dd1-4a28-98e6-e36f88bcfed1,opay,ng,2021,2021-07-23 12:18:02,5,0,en,en,langid,neutral,[],[],[],none,0,0.35
0ed91282-5efa-4f3d-a7a7-4a5f20d0c0ba,opay,ng,2024,2024-04-13 00:19:57,5,0,en,en,langid,neutral,[],[],[],none,0,0.35
0dc3a281-1cf5-4532-8284-74e2c6af2de5,opay,ng,2024,2024-11-27 13:34:34,5,0,en,en,langid,mixed,"[""transaction speed"", ""reliability""]","[""limited features""]",[],none,1,0.4
05b7326e-eaa7-45c1-91b1-af2ac550c6fd,opay,ng,2022,2022-05-25 17:00:54,5,0,en,en,langid,positive,"[""reliability""]",[],[],none,0,0.7
16a0f23f-1ee2-4d46-883e-3bcde93a27dd,opay,ng,2024,2024-04-20 11:46:55,5,0,en,en,langid,positive,[],[],[],none,0,0.7
cefc7073-3262-446a-b921-885bc84ab627,opay,ng,2022,2022-05-30 08:34:11,5,0,en,en,langid,negative,[],"[""ease of use""]",[],none,1,0.15
fab1d124-1159-4dcc-88e2-e134a7b76c60,opay,ng,2023,2023-03-17 20:15:30,4,1,en,en,langid,mixed,"[""ease of use"", ""reliability""]","[""poor customer service""]",[],none,1,0.4
bcd0dbd6-6367-4fb7-a8f6-e00846fe3177,opay,ng,2022,2022-05-05 19:45:17,5,1,en,en,langid,neutral,[],[],[],none,0,0.35
d32776a0-c601-4392-8355-096390e00f52,opay,ng,2022,2022-10-22 21:45:02,4,4,en,en,langid,mixed,"[""network connectivity"", ""transaction speed"", ""ease of use"", ""low fees""]","[""poor customer service"", ""limited features""]",[],none,2,0.35
8e24c206-72b2-4563-954c-ecb77eb020b0,opay,ng,2024,2024-03-05 05:06:48,5,0,en,en,langid,positive,[],[],[],none,0,0.7
0fc8a9d4-42c3-49cd-8d8b-7a61e709a044,opay,ng,2019,2019-11-02 05:58:33,5,0,en,en,langid,positive,[],[],[],none,0,0.7
0fdd3c96-c5d6-404c-9e64-7666d1d651af,opay,ng,2024,2024-08-18 07:32:13,5,0,en,en,langid,positive,"[""transaction speed""]",[],[],none,0,0.7
45a47976-60e1-4848-b559-77f92d0ef15d,opay,ng,2024,2024-07-11 19:38:31,5,0,en,en,langid,positive,[],[],[],none,0,0.7
26fff818-ec2f-4e30-a423-fdee27135ed8,opay,ng,2024,2024-01-30 19:24:32,1,0,en,en,langid,positive,[],[],[],none,0,0.7
78cb9690-3f70-4637-b7c1-7bc932b67908,opay,ng,2022,2022-06-23 22:12:25,5,1,en,en,langid,positive,"[""reliability""]",[],[],none,0,0.7
712888de-190d-4547-b237-349e136a8dd8,opay,ng,2022,2022-05-22 11:34:25,5,0,en,en,langid,positive,[],[],[],none,0,0.7
722a8e05-b6ed-4302-9f76-d8c2d2b2e75d,opay,ng,2024,2024-11-05 09:23:12,5,0,en,en,langid,positive,"[""reliability""]",[],[],none,0,0.7
d15c6f41-0ddc-484e-8c9c-d841da95ad52,opay,ng,2023,2023-08-29 12:08:53,2,0,en,en,langid,neutral,[],[],[],none,0,0.35
5078df7d-88d8-4b16-8841-ef97d3dc812d,opay,ng,2023,2023-09-26 16:00:46,5,0,en,en,langid,positive,"[""ease of use"", ""transaction speed""]",[],[],none,0,0.7
11858280-55ad-4881-9515-4b5f71bc5d3d,opay,ng,2022,2022-04-06 07:31:08,5,1,en,en,langid,positive,"[""reliability""]",[],"[""trust issues""]",none,0,0.7
6e4b222e-5754-487f-8cb0-d16dd5bd6df7,opay,ng,2022,2022-03-04 14:24:58,4,0,en,en,langid,positive,[],[],[],none,0,0.7
c3f31e27-728b-4b9b-ada3-1f5cf5997399,opay,ng,2021,2021-05-21 20:11:48,1,0,en,en,langid,negative,[],"[""limited features""]",[],none,1,0.15
51e9ec7a-903f-473d-8f1f-91ad69104794,opay,ng,2021,2021-02-05 11:03:19,5,0,en,en,langid,positive,"[""low fees"", ""transaction speed"", ""reliability""]",[],[],none,0,0.7
a28bd621-cc58-452e-bb64-a39e47c7460f,opay,ng,2024,2024-12-08 02:21:49,1,0,en,en,langid,mixed,"[""access without bank""]",[],[],strong,0,0.75
f4d19ae2-9c48-4ba8-aea6-c4590d7fda89,opay,ng,2019,2019-11-10 07:21:48,5,0,en,en,langid,positive,[],[],[],none,0,0.7
1a800fea-4e8f-49a4-ba39-6679d85108d9,opay,ng,2019,2019-07-28 07:17:01,1,0,en,en,langid,negative,[],[],[],none,0,0.2
6c9c781a-d21e-4b6f-bcf4-4103653e1d1a,opay,ng,2019,2019-11-03 09:13:34,1,0,en,en,langid,negative,[],"[""high fees""]",[],none,1,0.15
1156ad16-6e8c-433c-b053-475ffc88f9ed,opay,ng,2024,2024-08-27 10:51:04,5,0,en,en,langid,positive,[],[],"[""rural usage""]",none,0,0.7
138716a9-4b48-4d8f-80a0-efb21d8057b4,opay,ng,2019,2019-12-03 13:29:07,4,0,en,en,langid,neutral,[],"[""limited features""]",[],none,1,0.3
65dbb72d-6c7c-4206-9231-3dfe0ef265cd,opay,ng,2024,2024-03-28 23:13:59,5,0,en,en,langid,positive,"[""transaction speed""]",[],[],none,0,0.7
a80aa0ef-f9b5-4737-b432-cb33845372d0,opay,ng,2023,2023-06-21 07:52:36,5,0,en,en,langid,positive,[],[],[],none,0,0.7
594be84d-34b5-48aa-9d8a-ffcb157c2d4d,opay,ng,2021,2021-05-03 08:46:47,3,9,en,en,langid,negative,[],"[""app crashes""]",[],none,1,0.15
4fff3bc9-9bc3-46db-a407-22a78ec9c3b5,opay,ng,2021,2021-03-04 12:09:23,5,0,en,en,langid,mixed,[],[],"[""trust issues""]",none,0,0.45
426cc403-3afa-40cb-9d2c-03b88de78645,opay,ng,2023,2023-02-14 09:13:27,5,0,en,en,langid,positive,[],[],[],weak,0,1.0
ef08e2b4-885b-42a0-b2a3-78d3a794296f,opay,ng,2023,2023-07-21 18:12:41,5,0,en,en,langid,positive,[],[],[],weak,0,1.0
c376a808-fc3b-483c-be6a-6769b3826bfe,opay,ng,2024,2024-05-31 22:33:48,5,0,en,en,langid,negative,[],"[""network connectivity"", ""failed transactions""]","[""rural usage""]",none,2,0.1
ed89231a-686f-4d44-a215-65a8fe6051d8,opay,ng,2023,2023-07-04 22:50:21,5,0,en,en,langid,neutral,[],[],[],none,0,0.35
b23d94e4-7563-48e1-829f-ba15d9c3e24e,opay,ng,2023,2023-04-09 19:42:05,5,0,en,en,langid,positive,[],[],[],weak,0,1.0
dfca7091-5510-4c63-8d86-83db98c8c9cb,opay,ng,2022,2022-08-22 11:05:54,5,0,en,en,langid,positive,[],[],[],weak,0,1.0
32964c64-2986-47ce-a71a-325b418c836b,opay,ng,2024,2024-01-10 07:01:52,5,0,en,en,langid,positive,[],[],[],weak,0,1.0
220276a5-1b62-4f17-925e-ae5b7aece04d,opay,ng,2024,2024-11-05 11:34:28,5,0,en,en,langid,positive,"[""reliability""]",[],[],weak,0,1.0
2d707466-712b-4e8c-b205-d650f92d6474,opay,ng,2022,2022-09-08 14:05:07,3,0,en,en,langid,mixed,[],"[""poor customer service"", ""failed transactions""]",[],moderate,2,0.65
08a2097c-c6d2-46ef-bdb4-031f532d8ccb,opay,ng,2023,2023-01-24 15:44:55,5,0,en,en,langid,positive,[],[],[],weak,0,1.0
679aaa21-96bc-40ea-b8d1-a77dfddbf785,opay,ng,2023,2023-04-01 23:19:13,5,0,en,en,langid,positive,[],[],[],weak,0,1.0
43117dc6-0fd9-4656-b46b-293498d3376d,opay,ng,2021,2021-01-28 17:23:03,5,0,en,en,langid,neutral,[],[],[],none,0,0.35
4bf37807-86e1-431b-8b61-d7cb9a28bf46,opay,ng,2022,2022-07-29 05:59:56,5,0,en,en,langid,positive,"[""low fees"", ""merchant payments""]",[],[],strong,0,1.0
45c359d1-3c3f-4177-9305-0cc09d49679e,opay,ng,2022,2022-09-17 22:24:14,5,0,en,en,langid,positive,"[""transaction speed"", ""low fees""]",[],[],moderate,0,1.0
0601c116-0c75-4d31-8631-4b09c7223509,opay,ng,2024,2024-11-08 16:24:50,5,0,en,en,langid,positive,[],[],[],weak,0,1.0
585d2e10-40d9-414f-a070-7695686663f1,opay,ng,2023,2023-03-27 22:57:54,2,0,en,en,langid,negative,[],"[""security concerns""]",[],none,1,0.15
6800a988-66ce-46de-befc-c27c3fcbc850,opay,ng,2024,2024-03-02 22:44:04,5,0,en,en,langid,positive,[],[],[],weak,0,1.0
6eabe3a8-33a6-42d1-b565-c811d2cd97e4,opay,ng,2020,2020-01-21 09:07:11,1,2,en,en,langid,negative,[],"[""poor customer service"", ""failed transactions""]",[],none,2,0.1
b19a270b-cbc4-4927-a510-c07dd3667e57,opay,ng,2022,2022-04-20 13:29:45,4,1,en,en,langid,positive,[],[],[],weak,0,1.0
